name,iata_code
Gamba Airport,GAX
Gabbs Airport,GAB
Modibo Keita International Airport,BKO
Goundam Airport,GUD
Gao Airport,GAQ
Kenieba Airport,KNZ
Koutiala Airport,KTX
Kayes Dag Dag Airport,KYS
Mopti Ambodédjo International Airport,MZI
Nara Airport,NRM
Nioro du Sahel Airport,NIX
Sikasso Airport,KSS
Timbuktu Airport,TOM
Yélimané Airport,EYL
Guasopa Airport,GAZ
Dornoch Airfield,DOC
Flotta Isle Airstrip,FLH
Foula Airfield,FOA
Out Skerries Airfield,OUK
Papa Stour Airport,PSV
Glenforsa Airfield,ULL
Garbaharey Airport,GBM
Banjul International Airport,BJL
Fuerteventura Airport,FUE
La Gomera Airport,GMZ
El Hierro Airport,VDE
La Palma Airport,SPC
Gran Canaria Airport,LPA
César Manrique-Lanzarote Airport,ACE
Tenerife Sur Airport,TFS
Gravatai Airport,GCV
Tenerife Norte-Ciudad de La Laguna Airport,TFN
Ceuta Heliport,JCU
Melilla Airport,MLN
Gewoia Airport,GEW
Camopi Airport,OYC
Bo Airport,KBS
Pope Field,GFD
Gbangbatok Airport,GBK
Hastings Airport,HGS
Kabala Airport,KBA
Kenema Airport,KEN
Lungi International Airport,FNA
Yengema Airport,WYE
Bubaque Airport,BQE
Osvaldo Vieira International Airport,OXB
Garachiné Airport,GHE
Akunnaaq Heliport,QCU
Buchanan Airport,UCN
Cape Palmas Airport,CPA
Greenville/Sinoe Airport,SNI
Spriggs Payne Airport,MLW
Nimba Airport,NIA
Gulgubip Airport,GLP
Roberts International Airport,ROB
Sasstown Airport,SAZ
Tchien Airport,THC
Voinjama Airport,VOI
Al Massira Airport,AGA
Tan Tan Airport,TTA
Bouarfa Airport,UAR
Fes Saïss International Airport,FEZ
Moulay Ali Cherif Airport,ERH
Bassatine Airport,MEK
Oujda Angads Airport,OUD
Smara Airport,SMW
Ben Slimane Airport,GMD
Beni Mellal Airport,BEM
Rabat-Salé Airport,RBA
Dakhla Airport,VIL
Essaouira-Mogador Airport,ESU
Hassan I Airport,EUN
Mohammed V International Airport,CMN
Nador Al Aaroui International Airport,NDR
Menara Airport,RAK
Kenitra Air Base,NNA
Ouarzazate Airport,OZZ
Golog Maqên Airport,GMQ
Cherif Al Idrissi Airport,AHU
Sania Ramel Airport,TTU
Tangier Ibn Battuta Airport,TNG
Goodnews Airport,GNU
Blaise Diagne International Airport,DSS
Gora Airstrip,GOC
Kolda North Airport,KDA
Ziguinchor Airport,ZIG
Cap Skirring Airport,CSK
Kaolack Airport,KLC
Léopold Sédar Senghor International Airport,DKR
Ouro Sogui Airport,MAX
Podor Airport,POD
Richard Toll Airport,RDT
Saint Louis Airport,XLS
Bakel Airport,BXE
Kédougou Airport,KGG
Simenti Airport,SMY
Tambacounda Airport,TUD
Aioun el Atrouss Airport,AEO
Boutilimit Airport,OTL
Tichitt Airport,THI
Tidjikja Airport,TIY
Abbaye Airport,BGH
Kiffa Airport,KFA
Timbedra Airport,TMD
Néma Airport,EMN
Akjoujt Airport,AJJ
Kaédi Airport,KED
Letfotar Airport,MOM
Nouakchott–Oumtounsy International Airport,NKC
Sélibaby Airport,SEY
Tamchakett Airport,THT
Atar International Airport,ATR
Fderik Airport,FGD
Nouadhibou International Airport,NDB
Tazadit Airport,OUZ
Grand Cess Airport,GRC
Granite Mountain Air Station,GMT
Chiquimula Airport,CIQ
Dos Lagunas Airport,DON
El Naranjo Airport,ENJ
Paso Caballos Airport,PCG
El Petén Airport,TKM
Uaxactun Airport,UAX
Playa Grande Airport,PKJ
Kirawira B Aerodrome,GTZ
Conakry International Airport,CKY
Guriaso (Keraso) Airport,GUE
Fria Airport,FIG
Faranah Airport,FAA
Kissidougou Airport,KSI
Tata Airport,LEK
Macenta Airport,MCA
Nzérékoré Airport,NZE
Boké Baralande Airport,BKJ
Sambailo Airport,SBI
Siguiri Airport,GII
Kankan Airport,KNN
Amílcar Cabral International Airport,SID
Agostinho Neto Airport,NTO
Rabil Airport,BVC
Gordonsville Municipal Airport,GVE
Maio Airport,MMO
Mosteiros Airport,MTI
Praia International Airport,RAI
São Filipe Airport,SFL
Preguiça Airport,SNE
São Pedro Airport,VXE
Bemichi Airport,BCG
Botopasi Airport,BTO
Djumu-Djomoe Airport,DOE
Ladouanie Airport,LDO
Washabo Airport,WSO
Ghazni Airport,GZI
Addis Ababa Bole International Airport,ADD
Arba Minch Airport,AMH
Axum Airport,AXU
Baco Airport,BCO
Bahir Dar Airport,BJR
Beica Airport,BEI
Dembidollo Airport,DEM
Debra Marcos Airport,DBM
Aba Tenna Dejazmach Yilma International Airport,DIR
Debre Tabor Airport,DBT
Fincha Airport,FNH
Robe Airport,GOB
Ghinnir Airport,GNN
Gambela Airport,GMB
Gondar Airport,GDQ
Gode Airport,GDE
Gore Airport,GOR
Harar Meda Airport,QHR
Humera Airport,HUE
Wilwal International Airport,JIJ
Jimma Airport,JIM
Kebri Dahar Airport,ABK
Kelafo East Airport,LFO
Hawassa International Airport,AWA
Lalibella Airport,LLI
Mekane Selam Airport,MKS
Alula Aba Nega Airport,MQX
Metema Airport,ETE
Mendi Airport,NDM
Mui River Airport,MUJ
Mizan Teferi Airport,MTF
Negele Airport,EGL
Nejjo Airport,NEJ
Nekemte Airport,NEK
Beles Airport,PWI
Soddu Airport,SXU
Shakiso Airport,SKR
Semera Airport,SZE
Asosa Airport,ASO
Tippi Airport,TIE
Warder Airport,WRA
Haycock Airport,HAY
Hatzfeldhaven Airport,HAZ
Bujumbura Melchior Ndadaye International Airport,BJM
Gitega Airport,GID
Kirundo Airport,KRE
Haibei Qilian Airport,HBQ
Hambantota Seaplane Base,HBT
Caluula Airport,ALU
Baidoa Airport,BIB
Qandala Airport,CXN
Baardheere Airport,BSY
Eil Airport,HCM
Bosaso / Bender Qassim International Airport,BSA
Gardo Airport,GSR
Egal International Airport,HGA
Berbera Airport,BBO
Lugh Ganane Airport,LGX
Kismayo Airport,KMU
Aden Adde International Airport,MGQ
Beledweyne Airport,BLW
Hobyo Airport,CMO
Galcaio Airport,GLK
Iskushuban Airport,CMS
Erigavo Airport,ERA
Burao Airport,BUO
Garowe Airport,GGR
Djibouti-Ambouli Airport,JIB
Ali-Sabieh Airport,AII
Moucha Airport,MHI
Obock Airport,OBC
Tadjoura Airport,TDJ
El Minya Airport,EMY
Sidi EL Barrani Airport,SQK
El Alamein International Airport,DBB
El Arish International Airport,AAC
Asyut International Airport,ATZ
Borj El Arab International Airport,HBE
Abu Simbel Airport,ABS
Cairo International Airport,CAI
Capital International Airport,CCE
Ad Dakhla Airport,DAK
Hurghada International Airport,HRG
El Jora Airport,EGH
El Kharja Airport,UVL
Luxor International Airport,LXR
Marsa Alam International Airport,RMF
Marsa Matruh International Airport,MUH
Haelogo Airport,HEO
El Owainat East International Airport,GSQ
Port Said International Airport,PSD
Saint Catherine International Airport,SKV
Suhaj Mubarak International Airport,HMB
Sharm El Sheikh International Airport,SSH
Aswan International Airport,ASW
Siwa Oasis North Airport,SEW
Sphinx International Airport,SPX
Taba International Airport,TCP
Et Tur Airport,ELT
Hanchey Army (Fort Rucker) Heliport,HEY
Tusi (Hunter Liggett) Army Heliport,HGT
Asmara International Airport,ASM
Massawa International Airport,MSW
Assab International Airport,ASA
Tessenei Airport,TES
Princeville Airport,HPV
Waikoloa Heliport,WKL
Huai'an Lianshui International Airport,HIA
Shilavo Airport,HIL
Juba International Airport,JUB
Amboseli Airport,ASV
Healy Lake Airport,HKB
Eldoret International Airport,EDL
Eliye Springs Airport,EYS
Kalokol Airport,KLK
Garissa Airport,GAS
Hola Airport,HOA
Jomo Kenyatta International Airport,NBO
Keekorok Airport,KEU
Kakamega Airport,GGM
Kisumu Airport,KIS
Kilaguni Airport,ILU
Kericho Airport,KEY
Kitale Airport,KTL
Lokichoggio Airport,LKG
Lodwar Airport,LOK
Manda Airport,LAU
Loyengalani Airport,LOY
Mandera Airport,NDE
Marsabit Airport,RBT
Mulika Lodge Airport,JJM
Malindi Airport,MYD
Moi International Airport,MBA
Mara Serena Lodge Airstrip,MRE
Moyale Airport,OYL
Nyeri Airport,NYE
Nakuru Airport,NUU
Nairobi Wilson Airport,WIL
Nanyuki Airport,NYK
Samburu Airport,UAS
Ukunda Airstrip,UKA
Wajir Airport,WJR
Sirt International Airport / Ghardabiya Airbase,SRX
Ghat Airport,GHT
Kufra Airport,AKF
Benina International Airport,BEN
Mitiga International Airport,MJI
Al Abraq International Airport,LAQ
Sabha Airport,SEB
Marsa al Brega Airport,LMQ
Nafurah 1 Airport,NFR
Hon Airport,HUQ
Ghadames East Airport,LTD
Tobruk International Airport,TOB
Alzintan Airport,ZIS
Zuwarah International Airport,WAX
Erandique Airport,EDQ
Nhon Co Airfield,HOO
Sary Su Airport,HRC
Gisenyi Airport,GYI
Butare Airport,BTQ
Kigali International Airport,KGL
Ruhengeri Airport,RHG
Kamembe Airport,KME
Atbara Airport,ATB
Al Dabbah Airport,EDB
Dongola Airport,DOG
Damazin Airport,RSS
El Fasher Airport,ELF
Galegu Airport,DNX
Geneina Airport,EGN
Heglig Airport,HEG
Zhengzhou Shangjie Airport,HSJ
Kassala Airport,KSL
Khashm El Girba Airport,GBU
Kadugli Airport,KDX
Rumbek Airport,RBX
Merowe Airport,MWE
En Nahud Airport,NUD
Nyala Airport,UYL
New Halfa Airport,NHF
El-Obeid Airport,EBD
Port Sudan New International Airport,PZU
Khartoum International Airport,KRT
Malakal Airport,MAK
Wadi Halfa Airport,WHF
Wau Airport,WUU
Zalingei Airport,ZLX
Arusha Airport,ARK
Bukoba Airport,BKZ
Julius Nyerere International Airport,DAR
Dodoma Airport,DOD
Songwe Airport,MBI
Iringa Airport,IRI
Kigoma Airport,TKQ
Kilwa Airport,KIY
Kilimanjaro International Airport,JRO
Lindi Airport,LDI
Lake Manyara Airport,LKY
Khatgal Airport,HTM
Mafia Airport,MFA
Mwadui Airport,MWN
Masasi Airport,XMI
Mpanda Airport,NPY
Moshi Airport,QSI
Mtwara Airport,MYW
Musoma Airport,MUZ
Mwanza Airport,MWZ
Nachingwea Airport,NCH
Njombe Airport,JOM
Pemba Airport,PMA
Seronera Airport,SEU
Songea Airport,SGX
Sumbawanga Airport,SUT
Shinyanga Airport,SHY
Tabora Airport,TBO
Tanga Airport,TGT
Abeid Amani Karume International Airport,ZNZ
Arua Airport,RUA
Entebbe International Airport,EBB
Gulu Airport,ULU
Jinja Airport,JIN
Kabalega Falls Airport,PAF
Kasese Airport,KSE
Mbarara Airport,MBQ
Masindi Airport,KCU
Soroti Airport,SRT
Tororo Airport,TRY
Hawabango Airport,HWA
Hollis Clark Bay Seaplane Base,HYL
Chengdu Huaizhou Airport,HZU
Iboki Airport,IBI
Indigo Bay Lodge Airport,IBL
Sicogon Airstrip,ICO
Pulau Panjang Airport,PPJ
Notohadinegoro Airport,JBB
Banyuwangi International Airport,BWX
Bawean - Harun Thohir Airport,BXW
Blangkejeren Airport,GYO
Sangia Nibandera Airport,KXB
Apalapsili Airport,AAS
Anggi Airport,AGD
Gunung Batin Airport,AKQ
Ayawasi Airport,AYW
Boalang Airport,BJG
Batom Airport,BXM
Dabra Airport,DRH
Elelim Airport,ELR
Ewer Asmat Airport,EWE
Gag Island Airport,GAV
Ilu Airport,IUL
Karubaga Airport,KBF
Kambuaya Airport,KBX
Kamur Airport,KCD
Kotabangun Airport,KOD
Departi Parbo Airport,KRC
Kelila Airport,LLN
Lembata Wonopito Airport,LWE
Lunyuk Airport,LYK
Masalembo Airport,MSI
Banaina Airport,NAF
Obano Airport,OBD
Jenderal Besar Soedirman Airport,PWL
Sugimanuru Airport,RAQ
Rokot Airport,RKI
Tumbang Samba Airport,TBM
Tiom Airport,TMY
Senggo Airport,ZEG
Bilogai-Sugapa Airport,UGU
Indagen Airport,IDN
Iamalele Airport,IMA
Inhaminga Airport,IMG
Pakyong Airport,PYG
Jindal Vijaynagar Airport,VDY
Deoghar Airport,DGH
Mopa International Airport,GOX
Itanagar Donyi Polo Hollongi Airport,HGI
Jagdalpur Airport,JGB
Neyveli Airport,NVY
Rajouri Airport,RJI
Tezu Airport,TEI
Chinde Airport,INE
Iokea Airport,IOK
Ioma Airport,IOP
Khaneh Airport,KHA
Iranamadu Seaplane Base,IRU
New Ishigaki Airport,ISG
Itokama Airport,ITK
Viveros Island Airport,IVI
Jiagedaqi Airport,JGD
Jinchang Jinchuan Airport,JIC
Jos Orno Imsula Airport,JIO
Qianjiang Wulingshan Airport,JIQ
Jericoacoara - Comandante Ariston Pessoa Regional Airport,JJD
Quartz Creek Airport,JLA
Jamba Airport,JMB
Jinzhou Bay Airport,JNZ
Josephstaal Airport,JOP
Pentagon Army Heliport,JPN
West 30th St. Heliport,JRA
Downtown-Manhattan/Wall St Heliport,JRB
Chizhou Jiuhuashan Airport,JUH
Animas Air Park,AMK
Broadus Airport,BDX
Eureka Airport,EUE
Jackpot Airport/Hayden Field,KPT
Rolla Downtown Airport,RLA
Elizabeth Field,FID
Humboldt Municipal Airport,HUD
Jefferson County International Airport,TWD
Kayenta Airport,MVM
Columbia County Airport,HCC
Ardmore Downtown Executive Airport,AHD
Grand Canyon West Airport,GCW
Lampson Field,CKE
Montague-Yreka Rohrer Field,ROF
Fremont County Airport,CNE
Rouses Point Seaplane Base,RSX
Cooperstown-Westville Airport,COP
Council Airport,CIL
Iraan Municipal Airport,IRB
Gansner Field,GNF
Chiloquin State Airport,CHZ
St. Mary's County Regional Airport,LTW
Arapahoe Municipal Airport,AHF
Princeton Airport,PCT
Calverton Executive Airpark,CTO
Grand Lake Regional Airport,NRI
Grants Pass Airport,GTP
Jerry Tyler Memorial Airport,NLE
Grand Coulee Dam Airport,GCD
Valle Airport,VLE
Perry-Foley Airport,FPY
Manti-Ephraim Airport,NTJ
Salina Gunnison Airport,SBO
Central Jersey Regional Airport,JVI
Eunice Airport,UCE
Gold Beach Municipal Airport,GOL
Kentland Municipal Airport,KKT
Prentice Airport,PRW
Maverick County Memorial International Airport,EGP
Boulder City Municipal Airport,BLD
Mesquite International Airport,MFH
Iosco County Airport,ECA
Florence Municipal Airport,FMU
Anacortes Airport,OTS
Roosevelt Municipal Airport,ROL
Canton Municipal Airport,CTK
North Fork Valley Airport,WPO
Antlers Municipal Airport,ATE
Austin Airport,ASQ
Apalachicola Regional Airport,AAF
Lehigh Valley International Airport,ABE
Abilene Regional Airport,ABI
Albuquerque International Sunport,ABQ
Aberdeen Regional Airport,ABR
Southwest Georgia Regional Airport,ABY
Antrim County Airport,ACB
Nantucket Memorial Airport,ACK
Waco Regional Airport,ACT
California Redwood Coast-Humboldt County Airport,ACV
Atlantic City International Airport,ACY
Lenawee County Airport,ADG
Ada Regional Airport,ADT
Ardmore Municipal Airport,ADM
Addison Airport,ADS
Joint Base Andrews,ADW
Kake Seaplane Base,KAE
Albert Lea Municipal Airport,AEL
Alexandria International Airport,AEX
Karato Airport,KAF
USAF Academy Airfield,AFF
Washington County Airport,WSG
Jaffrey Airfield Silver Ranch Airport,AFN
Afton Municipal Airport,AFO
Perot Field/Fort Worth Alliance Airport,AFW
Allegheny County Airport,AGC
Magnolia Municipal Airport / Ralph C Weiser Field,AGO
Augusta Regional At Bush Field,AGS
Amedee Army Air Field,AHC
Amery Municipal Airport,AHH
Athens Ben Epps Airport,AHN
Alliance Municipal Airport,AIA
Anderson Municipal Darlington Field,AID
Aiken Regional Airport,AIK
Atlantic Municipal Airport,AIO
George Downer Airport,AIV
Lee C Fine Memorial Airport,AIZ
Kar Airport,KAK
Colorado Plains Regional Airport,AKO
Akron Executive Airport,AKC
Albany International Airport,ALB
Alice International Airport,ALI
Alamogordo White Sands Regional Airport,ALM
St Louis Regional Airport,ALN
Waterloo Regional Airport,ALO
San Luis Valley Regional Airport/Bergman Field,ALS
Walla Walla Regional Airport,ALW
Thomas C Russell Field,ALX
Rick Husband Amarillo International Airport,AMA
Gratiot Community Airport,AMN
Ames Municipal Airport,AMW
Anniston Regional Airport,ANB
Anderson Regional Airport,AND
Salida Airport - Harriet Alexander Field,SLT
Lee Airport,ANP
Tri State Steuben County Airport,ANQ
Ainsworth Regional Airport,ANW
Anthony Municipal Airport,ANY
Lima Allen County Airport,AOH
Altoona Blair County Airport,AOO
Centennial Airport,APA
Napa County Airport,APC
Naples Municipal Airport,APF
Phillips Army Air Field,APG
Mary Walker LZ Airport,APH
Alpena County Regional Airport,APN
Marion County Airport - Brown Field,APT
Apple Valley Airport,APV
Kamulai Airport,KAQ
Acadiana Regional Airport,ARA
Ann Arbor Municipal Airport,ARB
Walnut Ridge Regional Airport,ARG
Wharton Regional Airport,WHT
Aurora Municipal Airport,AUZ
Watertown International Airport,ART
Lakeland-Noble F. Lee Memorial field,ARV
Beaufort Executive Airport,BFT
Aspen-Pitkin County Airport (Sardy Field),ASE
Springdale Municipal Airport,SPZ
Nashua Airport / Boire Field,ASH
Harrison County Airport,ASL
Talladega Municipal Airport,ASN
Astoria Regional Airport,AST
John F Kennedy Memorial Airport,ASX
Ashley Municipal Airport,ASY
Hartsfield Jackson Atlanta International Airport,ATL
Artesia Municipal Airport,ATS
Appleton International Airport,ATW
Watertown Regional Airport,ATY
Augusta State Airport,AUG
Austin Municipal Airport,AUM
Auburn Municipal Airport,AUN
Auburn University Regional Airport,AUO
Austin Bergstrom International Airport,AUS
Wausau Downtown Airport,AUW
Asheville Regional Airport,AVL
Avon Park Executive Airport,AVO
Wilkes Barre Scranton International Airport,AVP
Marana Regional Airport,AVW
Catalina Airport,AVX
West Memphis Municipal Airport,AWM
Algona Municipal Airport,AXG
Chandler Field,AXN
Altus Quartz Mountain Regional Airport,AXS
Neil Armstrong Airport,AXV
Angel Fire Airport,AXX
Waycross Ware County Airport,AYS
Arnold Air Force Base,TUH
Kalamazoo Battle Creek International Airport,AZO
Beale Air Force Base,BAB
Barksdale Air Force Base,BAD
Westfield-Barnes Regional Airport,BAF
Columbus Municipal Airport,CLU
Battle Mountain Airport,BAM
Benson Municipal Airport,BBB
Curtis Field,BBD
Branson Airport,BKG
Marlboro County Jetport - H E Avent Field Airport,BTN
Broken Bow Municipal Airport,BBW
Virginia Tech Montgomery Executive Airport,BCB
Bryce Canyon Airport,BCE
Boca Raton Airport,BCT
Baudette International Airport,BDE
Blanding Municipal Airport,BDG
Bradley International Airport,BDL
Igor I Sikorsky Memorial Airport,BDR
Boulder Municipal Airport,WBU
Bell Island Hot Springs Seaplane Base,KBE
Beech Factory Airport,BEC
Laurence G Hanscom Field,BED
Southwest Michigan Regional Airport,BEH
Bradford Regional Airport,BFD
Western Neb. Rgnl/William B. Heilig Airport,BFF
Boeing Field King County International Airport,BFI
Meadows Field,BFL
Mobile Downtown Airport,BFM
Virgil I Grissom Municipal Airport,BFR
Hutchinson County Airport,BGD
Decatur County Industrial Air Park,BGE
Greater Binghamton/Edwin A Link field,BGM
Bangor International Airport,BGR
Kahama Airstrip,KBH
Hancock County-Bar Harbor Airport,BHB
Birmingham-Shuttlesworth International Airport,BHM
Block Island State Airport,BID
Beatrice Municipal Airport,BIE
Biggs Army Air Field (Fort Bliss),BIF
Eastern Sierra Regional Airport,BIH
Billings Logan International Airport,BIL
Bismarck Municipal Airport,BIS
Keesler Air Force Base,BIX
Rocky Mountain Metropolitan Airport,BJC
Bemidji Regional Airport,BJI
Wayne County Airport,BJJ
Stephens County Airport,BKD
Baker City Municipal Airport,BKE
Buckley Space Force Base,BFK
Burke Lakefront Airport,BKL
Allen C Perkinson Blackstone Army Air Field,BKT
Raleigh County Memorial Airport,BKW
Brookings Regional Airport,BKX
Mercer County Airport,BLF
Blythe Airport,BLH
Bellingham International Airport,BLI
Monmouth Executive Airport,BLM
Blue Canyon Nyack Airport,BLU
Scott AFB/Midamerica Airport,BLV
Kabwum,KBM
Brigham City Regional Airport,BMC
Monroe County Airport,BMG
Central Illinois Regional Airport at Bloomington-Normal,BMI
Berlin Regional Airport,BML
Beaumont Municipal Airport,BMT
Nashville International Airport,BNA
Banning Municipal Airport,BNG
Barnwell Regional Airport,BNL
Burns Municipal Airport,BNO
Boone Municipal Airport,BNW
Boise Air Terminal/Gowen Field,BOI
Logan International Airport,BOS
Bartow Executive Airport,BOW
Big Spring Mc Mahon-Wrinkle Airport,HCA
Miley Memorial Field,BPI
Ozark Regional Airport,WMH
Jack Brooks Regional Airport,BPT
Brunswick Golden Isles Airport,BQK
Brainerd Lakes Regional Airport,BRD
Southeast Iowa Regional Airport,BRL
Brownsville South Padre Island International Airport,BRO
Samuels Field,BRY
Kaben Airport,KBT
Skypark Airport,BTF
Battle Creek Executive Airport at Kellogg Field,BTL
Bert Mooney Airport,BTM
Britton Municipal Airport,TTO
Pittsburgh/Butler Regional Airport,BTP
Baton Rouge Metropolitan Airport,BTR
Burlington International Airport,BTV
Beatty Airport,BTY
Cram Field,BUB
Buffalo Niagara International Airport,BUF
Butler Memorial Airport,BUM
Bob Hope Airport,BUR
Beaver County Airport,BFP
Bartlesville Municipal Airport,BVO
Skagit Regional Airport,MVW
Batesville Regional Airport,BVX
Beverly Regional Airport,BVY
Brawley Municipal Airport,BWC
Brownwood Regional Airport,BWD
Bowling Green Warren County Regional Airport,BWG
Baltimore/Washington International Thurgood Marshall Airport,BWI
Harry Stern Airport,WAH
Bowman Regional Airport,BWM
George R Carr Memorial Air Field,BXA
Buckeye Municipal Airport,BXK
Johnson County Airport,BYG
Arkansas International Airport,BYH
Burley Municipal Airport,BYI
Bicycle Lake Army Air Field,BYS
Bay City Regional Airport,BBC
Gallatin Field,BZN
Grand Geneva Resort Airport,XES
Plymouth Municipal Airport,PLY
New Coalinga Municipal Airport,CLG
Wexford County Airport,CAD
Columbia Metropolitan Airport,CAE
Craig Moffat Airport,CIG
Akron Canton Regional Airport,CAK
Clayton Municipal Airpark,CAO
Caribou Municipal Airport,CAR
Greater Cumberland Regional Airport,CBE
Council Bluffs Municipal Airport,CBF
Shalz Field,CBK
Columbus Air Force Base,CBM
Coffman Cove Seaplane Base,KCC
Cable Airport,CCB
Buchanan Field,CCR
Northeast Iowa Regional Airport,CCY
Caledonia County Airport,LLX
Cedar City Regional Airport,CDC
Harrell Field,CDH
Woodward Field,CDN
Chadron Municipal Airport,CDR
Childress Municipal Airport,CDS
Essex County Airport,CDW
Cessna Aircraft Field,CEA
Jack Mc Namara Field Airport,CEC
Westover Metropolitan Airport / Westover Air Reserve Base,CEF
Oconee County Regional Airport,CEU
Mettel Field,CEV
Bob Sikes Airport,CEW
Kyle Oakley Field,CEY
Cortez Municipal Airport,CEZ
Coulter Field,CFD
Tuscola Area Airport,TZC
Greenlee County Airport,CFT
Coffeyville Municipal Airport,CFV
Cambridge Dorchester Airport,CGE
Cuyahoga County Airport,CGF
Cape Girardeau Regional Airport,CGI
College Park Airport,CGS
Casa Grande Municipal Airport,CGZ
Chattanooga Metropolitan Airport (Lovell Field),CHA
Chickasha Municipal Airport,CHK
Charlottesville Albemarle Airport,CHO
Charleston International Airport,CHS
Chico Municipal Airport,CIC
The Eastern Iowa Airport,CID
Arthur N Neu Airport,CIN
Cairo Regional Airport,CIR
Chippewa County International Airport,CIU
Kegelman AF Aux Field,CKA
North Central West Virginia Airport,CKB
Grand Marais Cook County Airport,GRM
Fletcher Field,CKM
Crookston Municipal Kirkwood Field,CKN
Clarksville–Montgomery County Regional Airport,CKV
Chignik Lagoon Airport,KCL
Cleveland Hopkins International Airport,CLE
Clintonville Municipal Airport,CLI
Clinton Regional Airport,CLK
Easterwood Field,CLL
William R Fairchild International Airport,CLM
Cliff Hatfield Memorial Airport,CLR
Chehalis Centralia Airport,CLS
Charlotte Douglas International Airport,CLT
Clearwater Air Park,CLW
John Glenn Columbus International Airport,CMH
University of Illinois Willard Airport,CMI
Houghton County Memorial Airport,CMX
Sparta Fort Mc Coy Airport,CMY
Chernofski Harbor Seaplane Base,KCN
Claremont Municipal Airport,CNH
Blosser Municipal Airport,CNK
Cavern City Air Terminal,CNM
Chino Airport,CNO
Chanute Martin Johnson Airport,CNU
TSTC Waco Airport,CNW
Canyonlands Regional Airport,CNY
Yellowstone Regional Airport,COD
Coeur D'Alene - Pappy Boyington Field,COE
Patrick Space Force Base,COF
Merritt Island Airport,COI
Coleman Municipal Airport,COM
Concord Municipal Airport,CON
City of Colorado Springs Municipal Airport,COS
Cotulla-La Salle County Airport,COT
Columbia Regional Airport,COU
Compton Woodley Airport,CPM
Casper-Natrona County International Airport,CPR
St Louis Downtown Airport,CPS
Cheraw Municipal Airport/Lynch Bellinger Field,HCW
Colorado Creek Airport,KCR
Grand Strand Airport,CRE
Jacksonville Executive at Craig Airport,CRG
Corcoran Airport,CRO
Corpus Christi International Airport,CRP
McClellan-Palomar Airport,CLD
C David Campbell Field Corsicana Municipal Airport,CRS
Z M Jack Stell Field,CRT
Yeager Airport,CRW
Roscoe Turner Airport,CRX
Columbus Metropolitan Airport,CSG
Clinton Sherman Airport,CSM
Creston Municipal Airport,CSQ
Crossville Memorial Whitson Field,CSV
Cut Bank International Airport,CTB
Cross City Airport,CTY
Sampson County Airport,CTZ
Jim Hamilton L.B. Owens Airport,CUB
Cushing Municipal Airport,CUH
Cincinnati Northern Kentucky International Airport,CVG
Sharp County Regional Airport,CKK
Clovis Municipal Airport,CVN
Corvallis Municipal Airport,CVO
Cannon Air Force Base,CVS
Central Wisconsin Airport,CWA
Kickapoo Downtown Airport,KIP
Chennault International Airport,CWF
Clinton Municipal Airport,CWI
Calexico International Airport,CXL
Conroe-North Houston Regional Airport,CXO
Carson Airport,CSN
Capital City Airport,HAR
Cheyenne Regional Jerry Olson Field,CYS
Dimmit County Airport,CZT
Tioga Municipal Airport,VEX
Davison Army Air Field,DAA
Daytona Beach International Airport,DAB
Barstow Daggett Airport,DAG
Dallas Love Field,DAL
Danville Regional Airport,DAN
James M Cox Dayton International Airport,DAY
W H 'Bud' Barron Airport,DBN
Dubuque Regional Airport,DBQ
Ronald Reagan Washington National Airport,DCA
Pryor Field Regional Airport,DCU
Dodge City Regional Airport,DDC
Decatur Airport,DEC
Decorah Municipal Airport,DEH
Denver International Airport,DEN
Coleman A. Young Municipal Airport,DET
Defiance Memorial Airport,DFI
Dallas Fort Worth International Airport,DFW
Douglas Municipal Airport,DGL
Converse County Airport,DGW
Dothan Regional Airport,DHN
Dalhart Municipal Airport,DHT
Dickinson Theodore Roosevelt Regional Airport,DIK
Chautauqua County-Dunkirk Airport,DKK
Dillon County Airport,DLL
Laughlin Air Force Base,DLF
Duluth International Airport,DLH
Dillon Airport,DLN
Columbia Gorge Regional Airport,DLS
Davis Monthan Air Force Base,DMA
Deming Municipal Airport,DMN
Sedalia Memorial Airport,DMO
Daniel Field,DNL
Dalton Municipal Airport,DNN
Denison Municipal Airport,DNS
Vermilion Regional Airport,DNV
Dover Air Force Base,DOV
Kandep Airport,KDP
Dupage Airport,DPA
Michael AAF (Dugway Proving Ground) Airport,DPG
Kamberatoro Airport,KDQ
Desert Rock Airport,DRA
Beauregard Regional Airport,DRI
Drummond Island Airport,DRE
Durango La Plata County Airport,DRO
Del Rio International Airport,DRT
Kamaran Downs Airport,KDS
Des Moines International Airport,DSM
Dansville Municipal Airport,DSV
Delta Municipal Airport,DTA
Detroit Lakes Airport - Wething Field,DTL
Shreveport Downtown Airport,DTN
Destin Executive Airport,DSI
Detroit Metropolitan Wayne County Airport,DTW
Durant Regional Airport - Eaker Field,DUA
Halliburton Field,DUC
Bisbee Douglas International Airport,DUG
DuBois Regional Airport,DUJ
Devils Lake Regional Airport,DVL
Davenport Municipal Airport,DVN
Marin County Airport - Gnoss Field,NOT
Slayton Municipal Airport,NSL
Phoenix Deer Valley Airport,DVT
Victoria Reservoir Seaplane Base,KDW
David Wayne Hooks Memorial Airport,DWH
Danbury Municipal Airport,DXR
